parcel_id,season,year,crop_type,cultivated_area_acres,production_kg,yield_kg_per_acre,market_price_per_kg,gross_income_rs,yield_category
AP_ANP_00001,Kharif,2025,Pearl Millet,5.99,4787.8,799.3,40,191512.0,
AP_ANP_00001,Rabi,2025,Sorghum,1.67,1210.4,724.8,28,33891.2,
AP_ANP_00001,Summer,2025,Maize,0.94,3038.5,3232.4,20,60770.0,
AP_ANP_00002,Kharif,2025,Pearl Millet,0.92,792.1,861.0,40,31684.0,
AP_ANP_00002,Rabi,2025,Sunflower,7.54,3773.8,500.5,52,196237.6,
AP_ANP_00002,Summer,2025,Sunflower,7.94,7401.7,932.2,52,384888.4,
AP_ANP_00003,Kharif,2025,Red Gram,0.67,376.8,562.4,82,30897.6,
AP_ANP_00003,Rabi,2025,Sorghum,3.5,2230.5,637.3,28,62454.0,
AP_ANP_00003,Summer,2025,Vegetables,7.8,32478.4,4163.9,18,584611.2,
AP_ANP_00004,Kharif,2025,Cotton,4.36,4165.5,955.4,70,291585.0,
AP_ANP_00004,Rabi,2025,Sunflower,0.85,786.5,925.3,52,40898.0,
AP_ANP_00004,Summer,2025,Vegetables,1.78,5919.0,3325.3,18,106542.0,
AP_ANP_00005,Kharif,2025,Pearl Millet,4.72,3269.5,692.7,40,130780.0,
AP_ANP_00005,Rabi,2025,Bengal Gram,0.62,333.9,538.5,65,21703.5,
AP_ANP_00005,Summer,2025,Vegetables,2.31,14821.7,6416.3,18,266790.6,
AP_ANP_00006,Kharif,2025,Pearl Millet,0.76,725.6,954.7,40,29024.0,
AP_ANP_00006,Rabi,2025,Sorghum,2.44,2757.2,1130.0,28,77201.6,
AP_ANP_00006,Summer,2025,Vegetables,2.84,15904.9,5600.3,18,286288.2,
AP_ANP_00007,Kharif,2025,Red Gram,0.73,526.4,721.1,82,43164.8,
AP_ANP_00007,Rabi,2025,Maize,3.87,8863.5,2290.3,20,177270.0,
AP_ANP_00007,Summer,2025,Sunflower,7.45,7517.8,1009.1,52,390925.6,
AP_ANP_00008,Kharif,2025,Cotton,7.71,8532.7,1106.7,70,597289.0,
AP_ANP_00008,Rabi,2025,Maize,6.1,15734.3,2579.4,20,314686.0,
AP_ANP_00008,Summer,2025,Groundnut,4.9,6740.9,1375.7,58,390972.2,
AP_ANP_00009,Kharif,2025,Pearl Millet,1.56,1405.7,901.1,40,56228.0,
AP_ANP_00009,Rabi,2025,Maize,1.06,3682.2,3473.8,20,73644.0,
AP_ANP_00009,Summer,2025,Groundnut,6.29,5277.9,839.1,58,306118.2,
AP_ANP_00010,Kharif,2025,Foxtail Millet,5.84,4643.4,795.1,45,208953.0,
AP_ANP_00010,Rabi,2025,Sunflower,5.04,5787.9,1148.4,52,300970.8,
AP_ANP_00010,Summer,2025,Groundnut,5.38,7211.9,1340.5,58,418290.2,
AP_ANP_00011,Kharif,2025,Groundnut,1.22,1170.7,959.6,58,67900.6,
AP_ANP_00011,Rabi,2025,Maize,5.52,15631.5,2831.8,20,312630.0,
AP_ANP_00011,Summer,2025,Sunflower,4.93,3413.0,692.3,52,177476.0,
AP_ANP_00012,Kharif,2025,Foxtail Millet,1.4,1059.2,756.6,45,47664.0,
AP_ANP_00012,Rabi,2025,Bengal Gram,6.21,4575.5,736.8,65,297407.5,
AP_ANP_00012,Summer,2025,Maize,6.28,15622.1,2487.6,20,312442.0,
AP_ANP_00013,Kharif,2025,Groundnut,3.8,3196.6,841.2,58,185402.8,
AP_ANP_00013,Rabi,2025,Groundnut,7.22,7456.8,1032.8,58,432494.4,
AP_ANP_00013,Summer,2025,Sunflower,4.72,4658.2,986.9,52,242226.4,
AP_ANP_00014,Kharif,2025,Paddy,6.17,13082.3,2120.3,22,287810.6,
AP_ANP_00014,Rabi,2025,Sorghum,1.08,898.3,831.8,28,25152.4,
AP_ANP_00014,Summer,2025,Maize,1.71,5744.6,3359.4,20,114892.0,
AP_ANP_00015,Kharif,2025,Paddy,7.04,20592.7,2925.1,22,453039.4,
AP_ANP_00015,Rabi,2025,Bengal Gram,1.9,1777.4,935.5,65,115531.0,
